action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
AGONIST,Adenosine A2a receptor agonist,CHEMBL1950554,CHEMBL251
AGONIST,Adenosine A2a receptor agonist,CHEMBL1950649,CHEMBL251
AGONIST,Serotonin 1a (5-HT1a) receptor agonist,CHEMBL209821,CHEMBL214
AGONIST,Ghrelin receptor agonist,CHEMBL2103794,CHEMBL4616
ANTAGONIST,Cannabinoid CB1 receptor antagonist,CHEMBL562668,CHEMBL218
ANTAGONIST,Adenosine A2a receptor antagonist,CHEMBL2105747,CHEMBL251
ANTAGONIST,Mu opioid receptor antagonist,CHEMBL2105755,CHEMBL233
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL2107339,CHEMBL231
ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL2107339,CHEMBL224
ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist,CHEMBL2107339,CHEMBL225
ANTAGONIST,Adrenergic receptor alpha-2 antagonist,CHEMBL2107339,CHEMBL2095158
ANTAGONIST,Serotonin 1a (5-HT1a) receptor antagonist,CHEMBL2107349,CHEMBL214
ANTAGONIST,C-C chemokine receptor type 5 antagonist,CHEMBL2107384,CHEMBL274
AGONIST,Metabotropic glutamate receptor 2 agonist,CHEMBL2110730,CHEMBL5137
AGONIST,Metabotropic glutamate receptor 3 agonist,CHEMBL2110730,CHEMBL2888
AGONIST,Serotonin 1a (5-HT1a) receptor agonist,CHEMBL2146110,CHEMBL214
PARTIAL AGONIST,Dopamine D2 receptor partial agonist,CHEMBL2146110,CHEMBL217
AGONIST,Dopamine D3 receptor agonist,CHEMBL2146110,CHEMBL234
AGONIST,Dopamine D4 receptor agonist,CHEMBL2146110,CHEMBL219
ANTAGONIST,C-C chemokine receptor type 9 antagonist,CHEMBL2178578,CHEMBL5815
INVERSE AGONIST,Cannabinoid CB1 receptor inverse agonist,CHEMBL220360,CHEMBL218
AGONIST,Sphingosine 1-phosphate receptor Edg-1 agonist,CHEMBL2336071,CHEMBL4333
AGONIST,Prostanoid FP receptor agonist,CHEMBL2364612,CHEMBL1987
ANTAGONIST,Calcitonin gene-related peptide type 1 receptor antagonist,CHEMBL236593,CHEMBL3798
ANTAGONIST,Adenosine A2a receptor antagonist,CHEMBL240624,CHEMBL251
AGONIST,Ghrelin receptor agonist,CHEMBL278623,CHEMBL4616
ANTAGONIST,Mu opioid receptor antagonist,CHEMBL3039511,CHEMBL233
AGONIST,Prostanoid IP receptor agonist,CHEMBL3137314,CHEMBL1995
ANTAGONIST,Serotonin 6 (5-HT6) receptor antagonist,CHEMBL3286580,CHEMBL3371
