drug_id,first_approval
CHEMBL1373,1998
CHEMBL189963,2015
CHEMBL206253,2014
CHEMBL1532,1963
CHEMBL1560,1981
CHEMBL1574,1959
CHEMBL502097,2013
CHEMBL473417,2012
CHEMBL1715,1999
CHEMBL1200389,1996
CHEMBL1200475,1996
CHEMBL1200538,1965
CHEMBL1200728,1939
CHEMBL1201184,2007
CHEMBL1201506,2000
CHEMBL1201577,2004
CHEMBL1201534,1996
CHEMBL1201775,2007
CHEMBL1683544,2010
CHEMBL1742990,2011
CHEMBL2107067,2014
CHEMBL2108185,2010
CHEMBL2111290,2010
CHEMBL3989691,2008
CHEMBL3989716,1971
CHEMBL4297603,2024
CHEMBL4298062,2020
CHEMBL4298167,2020
CHEMBL4650274,2021
CHEMBL11662,1988
CHEMBL705,1999
CHEMBL289480,1987
CHEMBL1071,1992
CHEMBL435298,2015
CHEMBL378544,1965
CHEMBL396778,2015
CHEMBL1465,1957
CHEMBL1587,1961
CHEMBL1607,1996
CHEMBL1643,1985
CHEMBL502182,2018
CHEMBL1706,1971
CHEMBL1714,1970
CHEMBL1079742,2004
CHEMBL1201022,1987
CHEMBL1201540,1982
CHEMBL1201735,2008
CHEMBL1852688,2021
CHEMBL2106615,2009
CHEMBL2109171,2002
CHEMBL3348923,2024
CHEMBL3545183,2016
CHEMBL3989915,2021
CHEMBL3989919,2018
CHEMBL4297830,2022
CHEMBL5314342,1960
CHEMBL5315125,2018
CHEMBL454,1983
CHEMBL428647,1992
CHEMBL500,1982
CHEMBL103,1976
CHEMBL1231,1975
CHEMBL1569,1968
CHEMBL1200322,2002
CHEMBL1200339,1952
CHEMBL1200495,1955
CHEMBL1200618,1996
CHEMBL1201156,1964
CHEMBL1201613,2004
CHEMBL1628234,1969
CHEMBL2105712,2013
CHEMBL2105719,2018
CHEMBL2107873,2018
CHEMBL3183075,1988
CHEMBL3301612,2018
CHEMBL3989933,2023
CHEMBL4297843,2023
CHEMBL4594338,2023
CHEMBL6068336,2024
CHEMBL817,1966
CHEMBL1423,1984
CHEMBL404108,2005
CHEMBL1702,2002
CHEMBL1200814,1982
CHEMBL1201341,1960
CHEMBL1201554,2006
CHEMBL1201515,2002
CHEMBL1201561,2000
CHEMBL1201830,2008
CHEMBL2103735,1999
CHEMBL2108282,2012
CHEMBL2108429,2015
CHEMBL2108658,2022
CHEMBL3218576,2017
CHEMBL3301675,2012
CHEMBL3545189,2018
CHEMBL3608680,2023
CHEMBL3707320,2015
CHEMBL3989820,1992
CHEMBL3989920,2017
CHEMBL4297841,2021
CHEMBL4298185,2021
CHEMBL655,1985
CHEMBL1100,1949
CHEMBL1404,2006
CHEMBL1515,1950
CHEMBL569713,1979
CHEMBL1200323,1984
CHEMBL1200418,1978
CHEMBL1200865,1998
CHEMBL1201163,1984
CHEMBL1201569,2000
CHEMBL1398126,1981
CHEMBL2107826,2018
CHEMBL2108730,2017
CHEMBL3137318,2018
CHEMBL3301574,2018
CHEMBL3989510,1969
CHEMBL3989519,1965
CHEMBL3989931,2017
CHEMBL4297566,2021
CHEMBL4297950,2023
CHEMBL4650275,2020
CHEMBL5315120,2021
CHEMBL723,1995
CHEMBL61593,1982
CHEMBL1308,1997
CHEMBL404849,1979
CHEMBL1497,1967
CHEMBL254219,1982
CHEMBL1685,1989
CHEMBL1737,1998
CHEMBL1752,1951
CHEMBL1200645,1996
CHEMBL1200760,2000
CHEMBL1200885,2000
CHEMBL1200959,1982
CHEMBL1201464,2000
CHEMBL1743079,2020
CHEMBL2105754,2015
CHEMBL2145077,2005
CHEMBL4297185,2019
CHEMBL4594273,2023
CHEMBL5095050,2021
CHEMBL6067972,2006
CHEMBL6622,1986
CHEMBL547,1982
CHEMBL291657,2024
CHEMBL1014,1998
CHEMBL429910,2012
CHEMBL462605,2016
CHEMBL1692,1959
CHEMBL1200521,2001
CHEMBL1201439,1998
CHEMBL1201513,1982
CHEMBL2028852,2008
CHEMBL2043437,2018
CHEMBL2105740,2006
CHEMBL2107333,2013
CHEMBL2107831,2018
CHEMBL2108290,2009
CHEMBL3137309,2016
CHEMBL3301581,2017
CHEMBL6068339,2008
CHEMBL19019,1984
CHEMBL646,1978
