target_chembl_id,target_name,uniprot_acc,ensembl_id
CHEMBL2075,Peptidyl-prolyl cis-trans isomerase B,P23284,ENSG00000166794
CHEMBL1830,Ribonucleoside-diphosphate reductase large subunit,P23921,ENSG00000167325
CHEMBL2024,Follicle-stimulating hormone receptor,P23945,ENSG00000170820
CHEMBL222,Sodium-dependent noradrenaline transporter,P23975,ENSG00000103546
CHEMBL1941,Histamine H2 receptor,P25021,ENSG00000113749
CHEMBL223,Alpha-1D adrenergic receptor,P25100,ENSG00000171873
CHEMBL2039,Amine oxidase [flavin-containing] B,P27338,ENSG00000069535
CHEMBL1983,5-hydroxytryptamine receptor 1D,P28221,ENSG00000179546
CHEMBL1898,5-hydroxytryptamine receptor 1B,P28222,ENSG00000135312
CHEMBL224,5-hydroxytryptamine receptor 2A,P28223,ENSG00000102468
CHEMBL225,5-hydroxytryptamine receptor 2C,P28335,ENSG00000147246
CHEMBL1984,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,P0A749,
CHEMBL1857,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,P0AEK4,
CHEMBL1786,Inositol monophosphatase 1,P29218,ENSG00000133731
CHEMBL1790,Vasopressin V2 receptor,P30518,ENSG00000126895
CHEMBL1903,Sodium- and chloride-dependent GABA transporter 1,P30531,ENSG00000157103
CHEMBL226,Adenosine receptor A1,P30542,ENSG00000163485
CHEMBL227,Type-1 angiotensin II receptor,P30556,ENSG00000144891
CHEMBL2049,Oxytocin receptor,P30559,ENSG00000180914
CHEMBL1804,Somatostatin receptor type 2,P30874,ENSG00000180616
CHEMBL1855,Gonadotropin-releasing hormone receptor,P30968,ENSG00000109163
CHEMBL1832,Calcitonin receptor,P30988,ENSG00000004948
CHEMBL1856,3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213,ENSG00000277893
CHEMBL228,Sodium-dependent serotonin transporter,P31645,ENSG00000108576
CHEMBL1888,Squalene epoxidase ERG1,P32476,
CHEMBL1861,4-hydroxyphenylpyruvate dioxygenase,P32754,ENSG00000158104
CHEMBL1800,Corticotropin-releasing factor receptor 1,P34998,ENSG00000276191
CHEMBL229,Alpha-1A adrenergic receptor,P35348,ENSG00000120907
CHEMBL230,Prostaglandin G/H synthase 2,P35354,ENSG00000073756
CHEMBL231,Histamine H1 receptor,P35367,ENSG00000196639
CHEMBL232,Alpha-1B adrenergic receptor,P35368,ENSG00000170214
CHEMBL233,Mu-type opioid receptor,P35372,ENSG00000112038
CHEMBL234,D(3) dopamine receptor,P35462,ENSG00000151577
CHEMBL1845,Sodium channel protein type 1 subunit alpha,P35498,ENSG00000144285
CHEMBL1791,Amiloride-sensitive sodium channel subunit alpha,P37088,ENSG00000111319
CHEMBL235,Peroxisome proliferator-activated receptor gamma,P37231,ENSG00000132170
CHEMBL1889,Vasopressin V1a receptor,P37288,ENSG00000166148
CHEMBL236,Delta-type opioid receptor,P41143,ENSG00000116329
CHEMBL237,Kappa-type opioid receptor,P41145,ENSG00000082556
CHEMBL2014,Nociceptin receptor,P41146,ENSG00000277044
CHEMBL1982,Isoleucine--tRNA ligase,P41972,
CHEMBL1987,Prostaglandin F2-alpha receptor,P43088,ENSG00000122420
CHEMBL1881,Prostaglandin E2 receptor EP2 subtype,P43116,ENSG00000125384
CHEMBL1995,Prostacyclin receptor,P43119,ENSG00000160013
CHEMBL1899,5-hydroxytryptamine receptor 3A,P46098,ENSG00000166736
CHEMBL1849,Enoyl-[acyl-carrier-protein] reductase [NADH],P9WGR1,
CHEMBL1985,Glucagon receptor,P47871,ENSG00000288269
CHEMBL1925,Secretin receptor,P47872,ENSG00000080293
CHEMBL1921,Vasopressin V1b receptor,P47901,ENSG00000198049
CHEMBL1929,Xanthine dehydrogenase/oxidase,P47989,ENSG00000158125
CHEMBL1919,Voltage-dependent calcium channel subunit alpha-2/delta-1,P54289,ENSG00000153956
