target_chembl_id,target_name,uniprot_acc,ensembl_id
CHEMBL3954,Cell division protein ZipA,P77173,
CHEMBL4102,Prostaglandin G/H synthase 2,P79208,
CHEMBL2950,Type 1 InsP3 receptor isoform S2,P79248,
CHEMBL4103,Delta-type opioid receptor,P79291,
CHEMBL4104,5-hydroxytryptamine receptor 1B,P79399,
CHEMBL4105,5-hydroxytryptamine receptor 1D,P79400,
CHEMBL4106,Cathepsin D,P80209,
CHEMBL3533,Coagulation factor XII,P98140,
CHEMBL4108,Voltage-dependent L-type calcium channel subunit alpha-1S,Q02485,
CHEMBL4109,"Glutamate receptor ionotropic, NMDA 2C",Q14957,ENSG00000161509
CHEMBL3612,Calpain-2 catalytic subunit,Q27971,
CHEMBL3452,Vitamin D3 receptor,Q28037,
CHEMBL3453,B2 bradykinin receptor,Q28642,
CHEMBL3499,Beta-lactamase class C,Q59401,
CHEMBL3500,Glycine receptor subunit alpha-4,Q61603,
CHEMBL3501,Cholecystokinin receptor type A,Q63931,
CHEMBL2647,Substance-K receptor,Q64077,
CHEMBL3605,Squalene synthetase,Q6IE76,
CHEMBL3651,Group VII phospholipase A2,Q6UB75,
CHEMBL3652,Beta-lactamase TEM,Q6W9J1,
CHEMBL3653,Cytidine deaminase,Q70AG6,
CHEMBL2648,Vitamin D3 receptor,Q7M3G7,
CHEMBL3626,Histone deacetylase,Q9GUA8,
CHEMBL2669,Serine-threonine protein phosphatase 2A regulatory subunit,Q8AWE3,
CHEMBL3635,Neutral alpha-glucosidase C,Q8BVW0,
CHEMBL2672,Muscarinic acetylcholine receptor M1,Q8WMX0,
CHEMBL3677,Kappa opioid receptor,Q8WNX7,
CHEMBL3679,Plasmin,Q95KW7,
CHEMBL3680,Inducible nitric oxide synthase,Q9BDP5,
CHEMBL2980,Arachidonate 5-lipoxygenase,Q9BEG3,
CHEMBL2981,Carnitine palmitoyltransferase 1A,Q9MYX2,
CHEMBL342,"Glutamate receptor ionotropic, NMDA 3A",Q9R1M7,
CHEMBL2673,A disintegrin and metalloproteinase with thrombospondin motifs 5,Q9TT92,
CHEMBL2982,Adenosine kinase,Q9TVW2,
CHEMBL3111,Ribosomal protein S6 kinase beta-2,Q9UBS0,ENSG00000175634
CHEMBL2937,Matrix metalloproteinase-17,Q9ULZ9,ENSG00000198598
CHEMBL3939,Thioesterase GrsT homolog tycF,O30412,
CHEMBL4110,Alpha-galactosidase A,D3ZJF9,
CHEMBL3801,Beta-2 adrenergic receptor,Q28997,
CHEMBL3642,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",Q8IYB8,ENSG00000156502
CHEMBL4263,"Acetolactate synthase, chloroplastic",P17597,
CHEMBL4264,Cycloartenol-C-24-methyltransferase,Q9LM02,
CHEMBL5502,Modulator of drug activity A,Q8X6S1,
CHEMBL4265,CG8425-PA [Drosophila melanogaster],A1ZA98,
CHEMBL4731,Hydroxycarboxylic acid receptor 2,Q80Z39,
CHEMBL3646,Secreted effector protein,O68720,
CHEMBL4266,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,ENSG00000141837
CHEMBL4257,Voltage-dependent T-type calcium channel subunit alpha-1G,O54898,
CHEMBL5446,Sodium channel regulatory subunit beta-2,O60939,ENSG00000149575
CHEMBL4290,Trypsin II,P00763,
CHEMBL5244,UDP-3-O-acyl-N-acetylglucosamine deacetylase,P0A725,
CHEMBL2073,Tyrosine-protein kinase Yes,P07947,ENSG00000176105
CHEMBL3640,Mycobacterial beta-ketoacyl-[acyl-carrier-protein] synthase III,P9WNG3,
CHEMBL4979,Sodium/glucose cotransporter 1,P13866,ENSG00000100170
CHEMBL5246,"Cholesterol side-chain cleavage enzyme, mitochondrial",P14137,
CHEMBL5276,3-dehydroquinate dehydratase,P15474,
CHEMBL5277,Atrial natriuretic peptide receptor 1,P18910,
CHEMBL5031,Beta-lactamase,P24735,
CHEMBL2072,Sodium channel protein type 4 subunit alpha,P35499,ENSG00000007314
CHEMBL4687,Plasmepsin I,P39898,
CHEMBL4414,Plasmepsin II,P46925,
CHEMBL4415,Deoxyhypusine synthase,P49366,ENSG00000095059
CHEMBL4463,Platelet-activating factor acetylhydrolase IB subunit alpha2,P68402,ENSG00000168092
CHEMBL3585,Sodium channel protein type 7 subunit alpha,Q01118,ENSG00000136546
CHEMBL3586,DNA topoisomerase 2-alpha,Q01320,
CHEMBL5107,Voltage-dependent N-type calcium channel subunit alpha-1B,Q02294,
CHEMBL5487,Sodium channel regulatory subunit beta-1,Q07699,ENSG00000105711
CHEMBL5108,Platelet-activating factor acetylhydrolase IB subunit alpha1,Q15102,ENSG00000079462
CHEMBL4296,Sodium channel protein type 9 subunit alpha,Q15858,ENSG00000169432
CHEMBL4351,Beta-1 adrenergic receptor,Q28998,
CHEMBL3641,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Q5HMD9,
CHEMBL4297,5-hydroxytryptamine receptor 1D,Q61224,
CHEMBL5564,DNA topoisomerase 2-beta,Q64511,
CHEMBL4690,Phenylalanine--tRNA ligase alpha subunit,Q8P1K1,
CHEMBL4691,Proteinase-activated receptor 4,Q96RI0,ENSG00000127533
CHEMBL4187,Sodium channel protein type 2 subunit alpha,Q99250,ENSG00000136531
CHEMBL5134,Voltage-dependent T-type calcium channel subunit alpha-1H,Q9EQ60,
CHEMBL5163,Sodium channel protein type 3 subunit alpha,Q9NY46,ENSG00000153253
CHEMBL2042,"1,3-beta-glucan synthase",F5BCZ9,
CHEMBL5167,Sodium channel protein type 11 subunit alpha,Q9UI33,ENSG00000168356
CHEMBL5202,Sodium channel protein type 8 subunit alpha,Q9UQD0,ENSG00000196876
CHEMBL5451,Sodium channel protein type 10 subunit alpha,Q9Y5Y9,ENSG00000185313
CHEMBL5459,Voltage-dependent T-type calcium channel subunit alpha-1I,Q9Z0Y8,
CHEMBL5489,Thymidine kinase 2,D3ZGQ2,
CHEMBL3558,Gamma-hydroxybutyrate receptor,Q6RY99,
CHEMBL2565,Penicillin-binding protein 2b,Q9XDB3,
CHEMBL2788,Tubulin beta chain,P02554,
CHEMBL2750,Gag-Pol polyprotein,P03354,
CHEMBL3908,"Lignostilbene alpha, beta-dioxygenase",O87171,
CHEMBL3392,Thermolysin,P00800,
CHEMBL343,Gamma-aminobutyric acid receptor subunit alpha-1,P62813,
CHEMBL2549,Penicillin-binding protein 4,P72355,
CHEMBL3380,Pyruvate dehydrogenase [ubiquinone],P07003,
CHEMBL4786,Farnesyl diphosphate synthase,Q08291,
CHEMBL2636,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",P32019,ENSG00000204084
CHEMBL3357,Interleukin-1 receptor-associated kinase 1,P51617,ENSG00000184216
CHEMBL4117,Aminopeptidase N,O96935,
CHEMBL4119,Glutathione reductase,P41921,
CHEMBL3288,Ryanodine receptor 1,P11716,
CHEMBL3463,Human immunodeficiency virus type 2 integrase,P89582,
CHEMBL3395,Glutamate receptor ionotropic kainate 2,B9V8S1,
CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Q9NWZ3,ENSG00000198001
CHEMBL3603,Integrin alpha-M,P05555,
CHEMBL2892,Metabotropic glutamate receptor 1,P97772,
CHEMBL3970,IgA protease,P09790,
CHEMBL4709,3-dehydroquinate dehydratase,P05194,
CHEMBL2400,Leukotriene A-4 hydrolase,P30349,
CHEMBL2833,"Alanine racemase, biosynthetic",P0A6B4,
CHEMBL4885,cAMP-dependent protein kinase alpha-catalytic subunit,Q95J97,
CHEMBL4651,Prostaglandin-H2 D-isomerase,O02853,
CHEMBL3823,L-lactate dehydrogenase B chain,P00336,
CHEMBL3824,Metabotropic glutamate receptor 3,Q9QYS2,
CHEMBL3825,Penicillin-binding protein 2,Q53729,
CHEMBL3826,Integrin alpha-M,P11215,ENSG00000169896
CHEMBL3110,Arabinose 5-phosphate isomerase KdsD,Q8ZLS1,
CHEMBL3675,p-hydroxybenzoate hydroxylase,P00438,
CHEMBL4020,Ryanodine receptor 2,Q8WN72,
CHEMBL3353,Glutamate racemase,Q03469,
CHEMBL3354,Glutathionylspermidine synthase,P90518,
CHEMBL3512,Penicillin-binding protein 2a,Q53707,
CHEMBL3513,Acidic alpha-glucosidase,Q6P7A9,
CHEMBL2942,"N-acetyllactosaminide alpha-1,3-galactosyltransferase",P50127,
CHEMBL3966,Metabotropic glutamate receptor 7,Q68ED2,
CHEMBL5129,Phosphodiesterase 3B,E1BN64,
CHEMBL3097,Acetylcholine receptor subunit alpha,P02710,
CHEMBL2540,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,P11880,
CHEMBL3250,Lysophosphatidic acid receptor 3,Q9UBY5,ENSG00000171517
CHEMBL3554,3-dehydroquinate synthase,P07639,
CHEMBL3232,Enoyl-CoA hydratase,P07896,
CHEMBL3515,Penicillin-binding protein 1,F4NA86,
CHEMBL3916,Acetylcholine receptor subunit delta,P02718,
CHEMBL4592,Amine oxidase [copper-containing] 3,O08590,
CHEMBL3186,Beta tubulin,Q25270,
CHEMBL5127,Genome polyprotein,P03300,
CHEMBL5245,Cytidylyltransferase,Q8FEJ5,
CHEMBL4288,Follicle-stimulating hormone receptor,P20395,
CHEMBL4289,Interleukin-6 receptor subunit alpha,P22273,
CHEMBL3799,Neuromedin-K receptor,P30098,
CHEMBL3798,Calcitonin gene-related peptide type 1 receptor,Q16602,ENSG00000064989
CHEMBL344,Melanin-concentrating hormone receptor 1,Q99705,ENSG00000128285
CHEMBL5560,CaM kinase I alpha,O04417,
CHEMBL2011,Fatty acid synthase,P95029,
CHEMBL2012,Vitamin K-dependent gamma-carboxylase,P38435,ENSG00000115486
CHEMBL1909,Glucan synthase,O13423,
CHEMBL2019,Type I iodothyronine deiodinase,P49895,ENSG00000211452
CHEMBL3925,17-beta-hydroxysteroid-dehydrogenase,O93874,
CHEMBL4723,Endo-b-N-acetylglucosaminidase,Q9C1S6,
CHEMBL4724,B1 bradykinin receptor,Q9BDQ5,
CHEMBL3431,Beta-mannosidase,Q4FZV0,
CHEMBL3432,Angiotensin-converting enzyme,Q4ACT8,
CHEMBL4727,Amine oxidase [copper-containing] 3,O70423,
CHEMBL3886,Mitogen-activated protein kinase kinase kinase 20,Q9NYL2,ENSG00000091436
CHEMBL3924,Dual specificity protein phosphatase 22,Q9NRW4,ENSG00000112679
CHEMBL3926,Carbonic anhydrase,Q50565,
CHEMBL4836,DNA topoisomerase 4 subunit A,Q931S2,
CHEMBL3927,Replicase polyprotein 1a,P0C6U8,
CHEMBL5280,Alpha-glucosidase,Q9LGC6,
CHEMBL4722,Aurora kinase A,O14965,ENSG00000087586
CHEMBL5026,Eukaryotic elongation factor 2 kinase,O00418,ENSG00000103319
CHEMBL4725,Aryl hydrocarbon receptor,O02747,
CHEMBL4726,Receptor-histidine kinase AgrC,O07911,
CHEMBL4196,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",O08557,
CHEMBL4355,Cyclin-G-associated kinase,O14976,ENSG00000178950
CHEMBL4356,G-protein coupled receptor 182,O15218,ENSG00000166856
CHEMBL5061,Glutathione reductase,O15770,
CHEMBL5062,Coagulation factor X,O19045,
CHEMBL5283,DNA polymerase III subunit alpha,O34623,
CHEMBL5014,Receptor-interacting serine/threonine-protein kinase 2,O43353,ENSG00000104312
CHEMBL3928,C-C chemokine receptor type 3,O54814,
CHEMBL5326,Casein kinase II subunit alpha',O54833,
CHEMBL3666,5-hydroxytryptamine receptor 3A,O70212,
CHEMBL3802,Neuropeptide Y receptor type 5,O70342,
CHEMBL5017,5-hydroxytryptamine receptor 4,O70528,
CHEMBL3534,Dolichyl-phosphate-mannose--protein mannosyltransferase 1,O74189,
CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",O76083,ENSG00000160191
CHEMBL5327,Collagenase 3,O77656,
CHEMBL3929,Coagulation factor X,O77669,
CHEMBL4728,"Exo-1,4-beta-xylosidase xlnD",O00089,
CHEMBL5328,Thymidylate synthase,P00469,
CHEMBL3967,Basic phospholipase A2 1,P00599,
CHEMBL3968,Acidic phospholipase A2 CM-I,P00602,
CHEMBL3930,Triosephosphate isomerase,P00939,
CHEMBL4006,Hemoglobin subunit beta,P02067,
CHEMBL4007,Hemoglobin beta chain,P02089,
CHEMBL3536,ATP-dependent molecular chaperone HSP82,P02829,
CHEMBL4096,Cellular tumor antigen p53,P04637,ENSG00000141510
CHEMBL5281,Cytochrome P450 2E1,P05181,ENSG00000130649
CHEMBL3344,"Fatty acid-binding protein, heart",P05413,ENSG00000121769
CHEMBL5035,Heme oxygenase 1,P06762,
CHEMBL4197,Heat shock protein HSP 90-alpha,P07901,
CHEMBL4837,Type 1 fimbrin D-mannose specific adhesin,P08191,
CHEMBL3345,3-dehydroquinate dehydratase,P9WPX7,
CHEMBL4083,4-hydroxy-tetrahydrodipicolinate synthase,P0A6L2,
CHEMBL3434,Protein RecA,P0A7G6,
CHEMBL3346,Gag-Pro polyprotein,P10274,
CHEMBL4621,DNA polymerase III subunit alpha,P10443,
CHEMBL4622,Beta-glucosidase A,P10482,
CHEMBL4721,"60 kDa heat shock protein, mitochondrial",P10809,ENSG00000144381
CHEMBL4084,Cyclin-dependent kinase 1,P11440,
CHEMBL5282,Cytochrome P450 2A6,P11509,ENSG00000255974
CHEMBL4358,Polyunsaturated fatty acid lipoxygenase ALOX15,P12530,
CHEMBL5020,Peroxisomal primary amine oxidase,P12807,
CHEMBL5064,Folate receptor beta,P14207,ENSG00000165457
CHEMBL4199,ATP-dependent molecular chaperone HSC82,P15108,
CHEMBL3350,D-alanyl-D-alanine carboxypeptidase,P15555,
CHEMBL3668,Galectin-3,P16110,
CHEMBL3882,Hexokinase-4,P17712,
CHEMBL3669,Glycogen synthase kinase-3 beta,P18266,
CHEMBL4729,Cytochrome P450 2B6,P20813,ENSG00000197408
CHEMBL4085,Cytochrome P450 2A5,P20852,
CHEMBL3348,Heme oxygenase 2,P23711,
CHEMBL3883,Dipeptidyl peptidase 4,P28843,
CHEMBL3884,Sodium/glucose cotransporter 2,P31639,ENSG00000140675
CHEMBL5066,Asialoglycoprotein receptor 1,P34927,
CHEMBL3820,Hexokinase-4,P35557,ENSG00000106633
CHEMBL3821,Cysteine proteinase B,P36400,
CHEMBL5021,Cyclin-dependent kinase inhibitor 1,P38936,ENSG00000124762
CHEMBL3932,Carbonic anhydrase,P40881,
CHEMBL4086,Prostaglandin E2 receptor EP4 subtype,P43114,
CHEMBL3349,Cathepsin K,P43236,
CHEMBL3822,Beta-ketoacyl-[acyl-carrier-protein] synthase III,P43711,
CHEMBL3671,Phenylalanine--tRNA ligase alpha subunit,P43819,
CHEMBL4091,1-deoxy-D-xylulose 5-phosphate reductoisomerase,P45568,
CHEMBL4087,B1 bradykinin receptor,P48748,
CHEMBL4092,Mitogen-activated protein kinase 10,P49187,
CHEMBL4088,DNA topoisomerase 4 subunit A,P0C1U9,
CHEMBL5067,D(1A) dopamine receptor,P50130,
CHEMBL4093,Oxysterols receptor LXR-beta,P55055,ENSG00000131408
CHEMBL3435,Alpha-glucosidase,P56526,
CHEMBL5022,Basic phospholipase A2 PLA-A,P59264,
CHEMBL4089,UDP-N-acetylenolpyruvoylglucosamine reductase,P61431,
CHEMBL3672,Beta-ketoacyl-[acyl-carrier-protein] synthase III,P0DB00,
CHEMBL4095,Casein kinase II subunit beta,P67871,
CHEMBL3673,Beta-ketoacyl-[acyl-carrier-protein] synthase III,P68795,
CHEMBL3436,Phenylalanine--tRNA ligase alpha subunit,P68849,
CHEMBL3745,Glucoamylase,P69328,
CHEMBL3933,Prostaglandin D2 receptor,P70263,
CHEMBL5068,Prostaglandin E2 receptor EP1 subtype,P70597,
CHEMBL3433,Substance-K receptor,P79218,
CHEMBL3746,11-beta-hydroxysteroid dehydrogenase type 2,P80365,ENSG00000176387
CHEMBL4090,Protein kinase Pfmrk,P90584,
CHEMBL3747,Calpain-1 catalytic subunit,P97571,
CHEMBL4198,E3 ubiquitin-protein ligase XIAP,P98170,ENSG00000101966
CHEMBL5023,E3 ubiquitin-protein ligase Mdm2,Q00987,ENSG00000135679
CHEMBL3674,Fatty acid-binding protein 5,Q01469,ENSG00000164687
CHEMBL5069,Hypoxanthine-guanine phosphoribosyltransferase,Q07010,
CHEMBL3748,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Q09128,
CHEMBL3797,Serine-protein kinase ATM,Q13315,ENSG00000149311
CHEMBL5024,Serine/threonine-protein kinase ATR,Q13535,ENSG00000175054
CHEMBL5078,Large conductance calcium-activated potassium channel subfamily M beta member 1,Q16558,ENSG00000145936
CHEMBL3437,Amine oxidase [copper-containing] 3,Q16853,ENSG00000131471
CHEMBL4094,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Q55663,
CHEMBL3482,Beta-galactosidase,Q58D55,
CHEMBL5079,Alpha-N-acetylgalactosaminidase,Q58DH9,
CHEMBL3537,Casein kinase II subunit alpha,Q60737,
CHEMBL3755,Coagulation factor X,Q63207,
CHEMBL3757,"Phenylalanine--tRNA ligase, mitochondrial",Q6AYQ3,
CHEMBL4657,Dipeptidyl peptidase 8,Q6V1X1,ENSG00000074603
CHEMBL4195,Acidic phospholipase A2 EC-I,Q7T3S7,
CHEMBL5070,Beta-ketoacyl-[acyl-carrier-protein] synthase III,Q820T1,
CHEMBL4793,Dipeptidyl peptidase 9,Q86TI2,ENSG00000142002
CHEMBL5025,Tyrosine-protein kinase TEC,Q8CFK4,
CHEMBL4730,Melanin-concentrating hormone receptor 1,Q8JZL2,
CHEMBL5036,cGMP-dependent protein kinase,Q8MMZ8,
CHEMBL5037,Caspase-10,Q92851,ENSG00000003400
CHEMBL4097,Putative cathepsin L 3,Q94715,
CHEMBL5038,Melanin-concentrating hormone receptor 2,Q969V1,ENSG00000152034
CHEMBL5039,Phenylalanine--tRNA ligase alpha subunit,Q97S36,
CHEMBL3428,Growth hormone secretagogue receptor type 1,Q99P50,
CHEMBL5040,Carboxypeptidase G2,Q9I056,
CHEMBL5076,Histamine H3 receptor,Q9JI35,
CHEMBL5077,Butyrylcholinesterase,Q9N1N9,
CHEMBL3935,Aurora kinase C,Q9UQB9,ENSG00000105146
CHEMBL3936,Alpha-galactosidase C,Q9UUZ4,
CHEMBL5071,Prostaglandin D2 receptor 2,Q9Y5Y4,ENSG00000183134
CHEMBL4082,Beta-glucuronidase,A3KMY8,
CHEMBL4357,Alpha-glucosidase MAL62,P07265,
CHEMBL3830,AP2-associated protein kinase 1,Q2M2I8,ENSG00000115977
CHEMBL3831,Serine/threonine-protein kinase MARK2,Q7KZI7,ENSG00000072518
CHEMBL3829,Calcium/calmodulin-dependent protein kinase type II subunit gamma,Q13555,ENSG00000148660
CHEMBL3788,Serine/threonine-protein kinase PLK4,O00444,ENSG00000142731
CHEMBL3938,Serine/threonine-protein kinase 16,O75716,ENSG00000115661
CHEMBL3980,Serine/threonine-protein kinase 17B,O94768,ENSG00000081320
CHEMBL3981,Serine/threonine-protein kinase 10,O94804,ENSG00000072786
CHEMBL3982,Tyrosine-protein kinase Fer,P16591,ENSG00000151422
CHEMBL2068,Ephrin type-A receptor 2,P29317,ENSG00000142627
CHEMBL4954,Ephrin type-A receptor 3,P29320,ENSG00000044524
CHEMBL4134,Ephrin type-A receptor 8,P29322,ENSG00000070886
CHEMBL3983,Dual specificity protein kinase TTK,P33981,ENSG00000112742
CHEMBL4223,Tyrosine-protein kinase FRK,P42685,ENSG00000111816
CHEMBL4224,Dual specificity protein kinase CLK1,P49759,ENSG00000013441
CHEMBL4225,Dual specificity protein kinase CLK2,P49760,ENSG00000176444
CHEMBL4226,Dual specificity protein kinase CLK3,P49761,ENSG00000179335
CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX,P51813,ENSG00000102010
CHEMBL3835,Serine/threonine-protein kinase Nek2,P51955,ENSG00000117650
CHEMBL3836,LIM domain kinase 1,P53667,ENSG00000106683
CHEMBL3987,Ephrin type-A receptor 5,P54756,ENSG00000145242
CHEMBL5072,Ephrin type-B receptor 1,P54762,ENSG00000154928
CHEMBL3988,Ephrin type-A receptor 4,P54764,ENSG00000116106
CHEMBL4597,Cyclin-dependent kinase 16,Q00536,ENSG00000102225
CHEMBL4599,Activated CDC42 kinase 1,Q07912,ENSG00000061938
CHEMBL4598,Serine/threonine-protein kinase 4,Q13043,ENSG00000101109
CHEMBL4600,Serine/threonine-protein kinase PAK 1,Q13153,ENSG00000149269
CHEMBL4601,Protein-tyrosine kinase 6,Q13882,ENSG00000101213
CHEMBL4602,Ephrin type-A receptor 7,Q15375,ENSG00000135333
CHEMBL5073,Calcium/calmodulin-dependent protein kinase type 1D,Q8IU85,ENSG00000183049
CHEMBL5256,Calcium/calmodulin-dependent protein kinase kinase 1,Q8N5S9,ENSG00000004660
CHEMBL5257,Serine/threonine-protein kinase Nek9,Q8TD19,ENSG00000119638
CHEMBL5258,Calcium/calmodulin-dependent protein kinase type 1G,Q96NX5,ENSG00000008118
CHEMBL5284,Calcium/calmodulin-dependent protein kinase kinase 2,Q96RR4,ENSG00000110931
CHEMBL3984,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Q99640,ENSG00000127564
CHEMBL5285,Mitogen-activated protein kinase kinase kinase 5,Q99683,ENSG00000197442
CHEMBL4202,STE20-like serine/threonine-protein kinase,Q9H2G2,ENSG00000065613
CHEMBL4203,Dual specificity protein kinase CLK4,Q9HAZ1,ENSG00000113240
CHEMBL4204,MAP kinase-interacting serine/threonine-protein kinase 2,Q9HBH9,ENSG00000099875
CHEMBL4309,Serine/threonine-protein kinase Nek6,Q9HC98,ENSG00000119408
CHEMBL4310,Serine/threonine-protein kinase 3,Q9JI10,
CHEMBL4311,Serine/threonine-protein kinase PAK 6,Q9NQU5,ENSG00000137843
CHEMBL4312,Serine/threonine-protein kinase 36,Q9NRP7,ENSG00000163482
CHEMBL4522,BMP-2-inducible protein kinase,Q9NSY1,ENSG00000138756
CHEMBL4523,Serine/threonine-protein kinase pim-2,Q9P1W9,ENSG00000102096
CHEMBL4524,Serine/threonine-protein kinase PAK 5,Q9P286,ENSG00000101349
CHEMBL4525,Serine/threonine-protein kinase 17A,Q9UEE5,ENSG00000164543
CHEMBL4526,Ephrin type-A receptor 6,Q9UF33,ENSG00000080224
CHEMBL4527,TRAF2 and NCK-interacting protein kinase,Q9UKE5,ENSG00000154310
CHEMBL4851,Serine/threonine-protein kinase 38-like,Q9Y2H1,ENSG00000211455
CHEMBL4852,Mitogen-activated protein kinase kinase kinase kinase 5,Q9Y4K4,ENSG00000012983
CHEMBL4853,Mitogen-activated protein kinase kinase kinase 4,Q9Y6R4,ENSG00000085511
CHEMBL3832,Serine/threonine-protein kinase ULK3,Q3U3Q1,
CHEMBL1998,Synaptic vesicle glycoprotein 2A,Q7L0J3,ENSG00000159164
CHEMBL401,"Glutamate receptor ionotropic, NMDA 2C",Q00961,
CHEMBL3753,Glutamate receptor 1,P19490,
CHEMBL5452,Serotonin N-acetyltransferase,Q29495,
CHEMBL5453,Sodium-dependent serotonin transporter,Q9MYX0,
CHEMBL5525,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Q60490,
CHEMBL5526,UDP-N-acetylenolpyruvoylglucosamine reductase,P08373,
CHEMBL4640,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",O60658,ENSG00000073417
CHEMBL4408,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",O95263,ENSG00000284762
CHEMBL4409,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Q9Y233,ENSG00000112541
CHEMBL4484,Casein kinase I isoform delta,Q06486,
CHEMBL4485,Histamine N-methyltransferase,Q9EST2,
CHEMBL5456,D(2) dopamine receptor,P52702,
CHEMBL5032,Sodium-dependent dopamine transporter,Q9GJT6,
CHEMBL5033,3-phosphoshikimate 1-carboxyvinyltransferase,P0A6D3,
CHEMBL5034,Gamma-aminobutyric acid type B receptor subunit 2,O75899,ENSG00000136928
CHEMBL4918,Hemagglutinin,P03438,
CHEMBL4919,Histone deacetylase HD2,Q94F81,
CHEMBL5457,Dihydrofolate reductase,O30463,
CHEMBL3703,Mycothiol S-conjugate amidase,P9WJN1,
CHEMBL4352,Dipeptidyl peptidase 2,Q9EPB1,
CHEMBL4354,Mu-type opioid receptor,P97266,
CHEMBL4268,Penicillin-binding protein 1,Q53725,
CHEMBL4269,Penicillin-binding protein 3,Q5D1F0,
CHEMBL5074,Human immunodeficiency virus type 2 pol protein,P88142,
CHEMBL5458,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,P62139,
CHEMBL5591,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,P67777,
CHEMBL5278,Serine/threonine protein phosphatase PP2B-alpha catalytic subunit,P16298,ENSG00000107758
CHEMBL4188,Rhodesain,Q95PM0,
CHEMBL3750,Bacterial leucyl aminopeptidase,Q01693,
CHEMBL4967,NF-kappa-B essential modulator,Q9Y6K9,ENSG00000269335
CHEMBL5455,Tyrosine-protein kinase Fes/Fps,P07332,ENSG00000182511
CHEMBL5490,Rho-associated protein kinase 2,Q62868,
CHEMBL4487,Serine/threonine-protein kinase PAK 2,Q13177,ENSG00000180370
CHEMBL5528,Ribosomal protein S6 kinase alpha-1,Q63531,
CHEMBL4533,5'-AMP-activated protein kinase catalytic subunit alpha-1,P54645,
CHEMBL4637,5'-AMP-activated protein kinase catalytic subunit alpha-2,Q09137,
CHEMBL4267,TGF-beta receptor type-2,P37173,ENSG00000163513
CHEMBL5443,Cell division cycle 7-related protein kinase,O00311,ENSG00000097046
CHEMBL4220,High affinity nerve growth factor receptor,P35739,
CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,ENSG00000165731
CHEMBL4482,Serine/threonine-protein kinase PAK 4,O96013,ENSG00000130669
CHEMBL5250,Tyrosine-protein kinase JAK3,Q62137,
CHEMBL4483,Protein DBF4 homolog A,Q9UBU7,ENSG00000006634
CHEMBL5251,Tyrosine-protein kinase BTK,Q06187,ENSG00000010671
CHEMBL5491,Wee1-like protein kinase,P30291,ENSG00000166483
CHEMBL4641,Voltage-dependent T-type calcium channel subunit alpha-1G,O43497,ENSG00000006283
CHEMBL5558,Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4,ENSG00000100346
CHEMBL5249,Geranylgeranyl transferase type-2 subunit alpha,Q92696,ENSG00000100949
CHEMBL5213,Cyclin-dependent kinase 1,P00546,
CHEMBL5247,Integrin-linked protein kinase,Q13418,ENSG00000166333
CHEMBL5164,Inositol-trisphosphate 3-kinase A,P23677,ENSG00000137825
CHEMBL5165,Inositol-trisphosphate 3-kinase B,P27987,ENSG00000143772
CHEMBL5166,Tyrosine-protein kinase transforming protein Abl,P00521,
CHEMBL3638,Ras guanyl-releasing protein 3,Q8IV61,ENSG00000152689
CHEMBL4248,Potassium voltage-gated channel subfamily A member 3,P15384,
CHEMBL4294,Potassium channel subfamily K member 3,O54912,
CHEMBL4295,Potassium channel subfamily K member 9,Q9ES08,
CHEMBL5279,Potassium voltage-gated channel subfamily A member 6,P17658,ENSG00000151079
CHEMBL5529,Voltage-gated potassium channel KCNC1,P48547,ENSG00000129159
CHEMBL5530,Potassium voltage-gated channel subfamily KQT member 2,O88943,
CHEMBL5531,Potassium voltage-gated channel subfamily KQT member 3,O88944,
CHEMBL4969,Progesterone receptor,Q00175,
CHEMBL4970,"Cytochrome P450 11B1, mitochondrial",P15393,
CHEMBL4971,Cytochrome P450 2C11,P08683,
CHEMBL3705,Cytochrome P450 2A2,P15149,
CHEMBL4743,Cytochrome P450 4A4,P10611,
CHEMBL5594,Camphor 5-monooxygenase,P00183,
