ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000003400,EFO_0004220,CASP10,chronic hepatitis C virus infection,2,0
ENSG00000003400,EFO_0010282,CASP10,gastrointestinal disease,1,0
ENSG00000003400,EFO_1001345,CASP10,"Hepatitis, Alcoholic",2,0
ENSG00000003400,HP_0001395,CASP10,Hepatic fibrosis,2,0
ENSG00000003400,MONDO_0100096,CASP10,COVID-19,1,0
ENSG00000003436,EFO_0020003,TFPI,drug toxicity,4,1
ENSG00000003436,MONDO_0010602,TFPI,hemophilia A,4,1
ENSG00000003436,MONDO_0010604,TFPI,hemophilia B,4,1
ENSG00000003436,MONDO_0015719,TFPI,severe hemophilia A,1,0
ENSG00000003436,MONDO_0018660,TFPI,hemophilia,4,1
ENSG00000003436,MP_0001914,TFPI,hemorrhage,4,1
ENSG00000004468,EFO_0000095,CD38,chronic lymphocytic leukemia,2,0
ENSG00000004468,EFO_0000198,CD38,myelodysplastic syndrome,2,0
ENSG00000004468,EFO_0000200,CD38,plasma cell neoplasm,1,0
ENSG00000004468,EFO_0000203,CD38,monoclonal gammopathy,2,0
ENSG00000004468,EFO_0000209,CD38,T-cell acute lymphoblastic leukemia,2,0
ENSG00000004468,EFO_0000220,CD38,acute lymphoblastic leukemia,2,0
ENSG00000004468,EFO_0000222,CD38,acute myeloid leukemia,2,0
ENSG00000004468,EFO_0000403,CD38,diffuse large B-cell lymphoma,2,0
ENSG00000004468,EFO_0000519,CD38,glioblastoma multiforme,1,0
ENSG00000004468,EFO_0000540,CD38,immune system disease,1,0
ENSG00000004468,EFO_0000565,CD38,leukemia,2,0
ENSG00000004468,EFO_0000574,CD38,lymphoma,2,0
ENSG00000004468,EFO_0000616,CD38,neoplasm,4,1
ENSG00000004468,EFO_0001378,CD38,multiple myeloma,4,1
ENSG00000004468,EFO_0003060,CD38,non-small cell lung carcinoma,2,0
ENSG00000004468,EFO_0004194,CD38,IGA glomerulonephritis,2,0
ENSG00000004468,EFO_0004254,CD38,membranous glomerulonephritis,2,0
ENSG00000004468,EFO_0004289,CD38,lymphoid leukemia,2,0
ENSG00000004468,EFO_0004599,CD38,acute graft vs. host disease,1,0
ENSG00000004468,EFO_0004991,CD38,Myasthenia gravis,2,0
ENSG00000004468,EFO_0005140,CD38,autoimmune disease,1,0
ENSG00000004468,EFO_0005558,CD38,hemolytic anemia,1,0
ENSG00000004468,EFO_0005761,CD38,lupus nephritis,2,0
ENSG00000004468,EFO_0006475,CD38,plasma cell leukemia,2,0
ENSG00000004468,EFO_0007160,CD38,autoimmune thrombocytopenic purpura,2,0
ENSG00000004468,EFO_0007355,CD38,male reproductive organ cancer,2,0
ENSG00000004468,EFO_0009441,CD38,Waldenstrom macroglobulinemia,2,0
ENSG00000004468,EFO_0010673,CD38,cardiac transplant,2,0
ENSG00000004468,EFO_1001115,CD38,POEMS syndrome,2,0
ENSG00000004468,EFO_1001264,CD38,"Anemia, Hemolytic, Autoimmune",2,0
ENSG00000004468,EFO_1001469,CD38,Mantle cell lymphoma,2,0
ENSG00000004468,EFO_1001830,CD38,precursor T-cell lymphoblastic leukemia-lymphoma,2,0
ENSG00000004468,EFO_1001875,CD38,amyloidosis,2,0
ENSG00000004468,EFO_1001936,CD38,adult T acute lymphoblastic leukemia,2,0
ENSG00000004468,MONDO_0000820,CD38,cerebral cavernous malformation,1,0
ENSG00000004468,MONDO_0001705,CD38,pure red-cell aplasia,2,0
ENSG00000004468,MONDO_0002462,CD38,glomerulonephritis,2,0
ENSG00000004468,MONDO_0004975,CD38,Alzheimer disease,2,0
ENSG00000004468,MONDO_0004992,CD38,cancer,1,0
ENSG00000004468,MONDO_0007915,CD38,systemic lupus erythematosus,2,0
ENSG00000004468,MONDO_0008315,CD38,prostate cancer,2,0
ENSG00000004468,MONDO_0010979,CD38,Timothy syndrome,2,0
ENSG00000004468,MONDO_0018904,CD38,primary membranoproliferative glomerulonephritis,2,0
ENSG00000004468,MONDO_0018906,CD38,follicular lymphoma,2,0
ENSG00000004487,EFO_0000198,KDM1A,myelodysplastic syndrome,2,0
ENSG00000004487,EFO_0000702,KDM1A,small cell lung carcinoma,1,0
ENSG00000004487,MONDO_0015667,KDM1A,acute myeloid leukemia by FAB classification,2,0
ENSG00000004779,EFO_0000199,NDUFAB1,oral squamous cell carcinoma,2,0
ENSG00000004779,EFO_0000348,NDUFAB1,clear cell adenocarcinoma,1,0
ENSG00000004779,EFO_0000400,NDUFAB1,diabetes mellitus,4,1
ENSG00000004779,EFO_0000545,NDUFAB1,infertility,2,0
ENSG00000004779,EFO_0000616,NDUFAB1,neoplasm,1,0
ENSG00000004779,EFO_0000673,NDUFAB1,prostate adenocarcinoma,2,0
ENSG00000004779,EFO_0001071,NDUFAB1,lung carcinoma,2,0
ENSG00000004779,EFO_0001378,NDUFAB1,multiple myeloma,1,0
ENSG00000004779,EFO_0002618,NDUFAB1,pancreatic carcinoma,1,0
ENSG00000004779,EFO_0003144,NDUFAB1,heart failure,2,0
ENSG00000004779,EFO_0004208,NDUFAB1,Vitiligo,2,0
ENSG00000004779,EFO_0006859,NDUFAB1,head and neck malignant neoplasia,1,0
ENSG00000004779,EFO_0008520,NDUFAB1,primary progressive multiple sclerosis,2,0
ENSG00000004779,EFO_0008522,NDUFAB1,secondary progressive multiple sclerosis,2,0
ENSG00000004779,EFO_1000783,NDUFAB1,diabetic neuropathy,1,0
ENSG00000004779,EFO_1001459,NDUFAB1,diabetic foot,2,0
ENSG00000004779,EFO_1001818,NDUFAB1,oral submucous fibrosis,1,0
ENSG00000004779,HP_0000842,NDUFAB1,Hyperinsulinemia,2,0
