efo_id_norm,ot_therapeutic_area,ot_ta_raw
EFO_0003882,Rare Disease,"musculoskeletal or connective tissue disease|genetic, familial or congenital disease|phenotype"
EFO_0003931,Other,"injury, poisoning or other complication|musculoskeletal or connective tissue disease"
EFO_0008506,CVRM,endocrine system disease|phenotype
EFO_0020989,Other,medical procedure
EFO_0000200,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000228,Oncology,cancer or benign tumor
EFO_0000231,Oncology,cancer or benign tumor
EFO_0000239,CVRM,"endocrine system disease|genetic, familial or congenital disease|nervous system disease|cancer or benign tumor"
EFO_0000501,CVRM,endocrine system disease|cancer or benign tumor
EFO_0000503,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0000514,Oncology,cancer or benign tumor
EFO_0000640,Oncology,cancer or benign tumor|urinary system disease
EFO_0000641,CVRM,endocrine system disease|cancer or benign tumor
EFO_0001365,Rare Disease,"nervous system disease|genetic, familial or congenital disease|disorder of visual system|phenotype"
EFO_0002892,CVRM,endocrine system disease|cancer or benign tumor
EFO_0002916,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0002938,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
EFO_0003016,Oncology,urinary system disease|cancer or benign tumor
EFO_0003032,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0003820,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0003841,CVRM,endocrine system disease|cancer or benign tumor
EFO_0003863,Oncology,urinary system disease|cancer or benign tumor
EFO_0003893,CVRM,endocrine system disease|reproductive system or breast disease|cancer or benign tumor
EFO_0003897,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0004142,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0004243,CVRM,endocrine system disease|cancer or benign tumor
EFO_0005540,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0005922,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0005950,Oncology,cancer or benign tumor
EFO_0006352,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0006859,Oncology,cancer or benign tumor
EFO_0007331,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0008528,Oncology,urinary system disease|cancer or benign tumor
EFO_0009709,Oncology,cancer or benign tumor
EFO_1000045,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_1000158,Oncology,nervous system disease|cancer or benign tumor
EFO_1000403,Oncology,disorder of visual system|cancer or benign tumor|nervous system disease
EFO_1000576,Immunology,immune system disease|endocrine system disease|hematologic disease|cancer or benign tumor
EFO_1000581,Immunology,immune system disease|endocrine system disease|hematologic disease|cancer or benign tumor
EFO_1000796,CVRM,cardiovascular disease|endocrine system disease|urinary system disease|cancer or benign tumor
EFO_1001512,Oncology,cancer or benign tumor|reproductive system or breast disease
EFO_1001961,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_1001972,Oncology,cancer or benign tumor|musculoskeletal or connective tissue disease
HP_0001410,Other,phenotype
HP_0001541,Other,phenotype
MONDO_0000544,Oncology,cancer or benign tumor
MONDO_0001187,Oncology,urinary system disease|cancer or benign tumor
MONDO_0002158,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0002974,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0003060,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
MONDO_0003193,Oncology,gastrointestinal disease|cancer or benign tumor|endocrine system disease
MONDO_0003219,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0004669,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0008233,Oncology,cancer or benign tumor
MONDO_0008667,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
MONDO_0011962,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0016216,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
MONDO_0016238,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
MONDO_0020634,Oncology,nervous system disease|cancer or benign tumor
MONDO_0020690,Oncology,nervous system disease|cancer or benign tumor
MONDO_0021117,Respiratory,respiratory or thoracic disease|cancer or benign tumor
MONDO_0021637,Oncology,nervous system disease|cancer or benign tumor
MONDO_0024503,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
MONDO_0044926,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
OBA_VT0000183,Other,measurement
EFO_0000182,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0000564,Oncology,musculoskeletal or connective tissue disease|infectious disease|cancer or benign tumor
EFO_0003825,Oncology,cancer or benign tumor
EFO_0003830,Other,infectious disease|reproductive system or breast disease
EFO_1000439,Oncology,gastrointestinal disease|cancer or benign tumor|endocrine system disease
EFO_1000616,Oncology,phenotype|disorder of visual system|cancer or benign tumor|nervous system disease
EFO_1000984,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_1001968,Oncology,cancer or benign tumor
MONDO_0002928,Oncology,cancer or benign tumor
MONDO_0004643,Immunology,immune system disease|hematologic disease|musculoskeletal or connective tissue disease|cancer or benign tumor
Orphanet_145,Oncology,"cancer or benign tumor|endocrine system disease|reproductive system or breast disease|genetic, familial or congenital disease|integumentary system disease"
EFO_0000266,CVRM,cardiovascular disease
EFO_0000319,CVRM,cardiovascular disease
EFO_0002610,Other,psychiatric disorder|nervous system disease
EFO_0003888,Other,psychiatric disorder|nervous system disease
EFO_0004319,Other,biological_process
EFO_0004610,Respiratory,"injury, poisoning or other complication|respiratory or thoracic disease"
EFO_0005669,CVRM,nervous system disease|cardiovascular disease
EFO_0005687,Other,nervous system disease|musculoskeletal or connective tissue disease
EFO_1000809,Other,nervous system disease|disorder of visual system
EFO_1001022,Other,disorder of visual system|nervous system disease
EFO_1001923,Other,phenotype
HP_0001636,Other,phenotype
HP_0001943,Other,phenotype
MONDO_0008501,Rare Disease,"disorder of visual system|nervous system disease|genetic, familial or congenital disease"
MONDO_0018089,Rare Disease,"genetic, familial or congenital disease|cardiovascular disease"
MONDO_0019180,Rare Disease,"genetic, familial or congenital disease|cardiovascular disease"
EFO_0000349,Oncology,urinary system disease|cancer or benign tumor
MONDO_0001056,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0000571,Respiratory,respiratory or thoracic disease|cancer or benign tumor
MONDO_0007039,Rare Disease,"nervous system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000224,Immunology,hematologic disease|immune system disease|cancer or benign tumor|musculoskeletal or connective tissue disease
EFO_0000569,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0001642,Oncology,hematologic disease|cancer or benign tumor
EFO_1001051,Oncology,"integumentary system disease|cancer or benign tumor|hematologic disease|genetic, familial or congenital disease"
EFO_1001110,CVRM,endocrine system disease|phenotype|reproductive system or breast disease|nervous system disease
EFO_1001331,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_1001901,CVRM,endocrine system disease|cancer or benign tumor
MONDO_0000430,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0002108,CVRM,endocrine system disease|cancer or benign tumor
MONDO_0019471,Immunology,"infectious disease|hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000497,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0003865,Oncology,urinary system disease|cancer or benign tumor
EFO_0009490,Other,"nervous system disease|injury, poisoning or other complication"
EFO_0009907,Rare Disease,"musculoskeletal or connective tissue disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000318,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1001797,Rare Disease,"hematologic disease|genetic, familial or congenital disease"
MONDO_0016642,Oncology,nervous system disease|cancer or benign tumor
EFO_0003073,Immunology,"immune system disease|hematologic disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000712,CVRM,nervous system disease|cardiovascular disease|phenotype
EFO_0003907,Other,phenotype
EFO_0009085,CVRM,cardiovascular disease
EFO_0009321,CVRM,nutritional or metabolic disease|nervous system disease|disorder of visual system|cardiovascular disease
EFO_1001157,CVRM,cardiovascular disease|nervous system disease|disorder of visual system
EFO_0009846,Other,phenotype
EFO_1000874,Other,infectious disease
MONDO_0019558,Immunology,immune system disease|musculoskeletal or connective tissue disease
EFO_0004230,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_0006545,Oncology,nervous system disease|cancer or benign tumor
EFO_1000355,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
EFO_1000601,Oncology,cancer or benign tumor
MONDO_0041052,Other,nervous system disease|infectious disease|phenotype
EFO_0000551,CVRM,nervous system disease|cardiovascular disease
EFO_1000025,Other,urinary system disease
MONDO_0100326,Rare Disease,"hematologic disease|genetic, familial or congenital disease"
EFO_0000759,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0003899,Other,musculoskeletal or connective tissue disease
EFO_1000941,Other,musculoskeletal or connective tissue disease
HP_0012227,Other,phenotype
EFO_0000694,Respiratory,respiratory or thoracic disease|infectious disease
EFO_0003106,Respiratory,infectious disease|respiratory or thoracic disease|phenotype
EFO_0003770,CVRM,nutritional or metabolic disease|nervous system disease|disorder of visual system|cardiovascular disease
EFO_0003827,CVRM,phenotype|cardiovascular disease
EFO_0003876,CVRM,cardiovascular disease
EFO_0004236,Other,urinary system disease|phenotype
EFO_0004278,CVRM,cardiovascular disease
EFO_0005762,Other,phenotype
EFO_0007224,Other,infectious disease
EFO_0007406,Other,infectious disease|gastrointestinal disease
EFO_0007486,Respiratory,respiratory or thoracic disease|musculoskeletal or connective tissue disease
EFO_0007512,Other,integumentary system disease|infectious disease
EFO_0008585,CVRM,cardiovascular disease
EFO_0009492,CVRM,cardiovascular disease
EFO_0009760,CVRM,nutritional or metabolic disease|nervous system disease|disorder of visual system|cardiovascular disease
EFO_0010721,Other,medical procedure
EFO_1001375,CVRM,cardiovascular disease
EFO_1001993,Immunology,"immune system disease|musculoskeletal or connective tissue disease|disorder of visual system|genetic, familial or congenital disease|phenotype"
EFO_1002023,Oncology,infectious disease|integumentary system disease|cancer or benign tumor
HP_0002571,Other,phenotype
HP_0012390,Other,phenotype
HP_0012531,Other,phenotype
HP_0031217,Other,phenotype
HP_0200042,Other,phenotype
MONDO_0004857,Immunology,immune system disease|musculoskeletal or connective tissue disease|phenotype
MONDO_0010679,Rare Disease,"nervous system disease|genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0043839,Other,integumentary system disease
EFO_0003047,CVRM,infectious disease|gastrointestinal disease|endocrine system disease
EFO_1000760,Other,integumentary system disease
HP_0012199,Other,phenotype
EFO_0008572,Other,nutritional or metabolic disease
MONDO_0013730,Immunology,"immune system disease|injury, poisoning or other complication"
EFO_1000294,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_1001480,Oncology,gastrointestinal disease|cancer or benign tumor
DOID_13406,Respiratory,musculoskeletal or connective tissue disease|respiratory or thoracic disease
EFO_0001072,Other,phenotype
EFO_0003767,Immunology,"immune system disease|gastrointestinal disease|genetic, familial or congenital disease"
EFO_0003780,Immunology,immune system disease|urinary system disease|nervous system disease|integumentary system disease|cardiovascular disease
EFO_0003818,Respiratory,respiratory or thoracic disease
EFO_0003834,Immunology,immune system disease|musculoskeletal or connective tissue disease
EFO_0003840,Immunology,nervous system disease|immune system disease
EFO_0003956,Respiratory,respiratory or thoracic disease|immune system disease
EFO_0004192,Rare Disease,"integumentary system disease|genetic, familial or congenital disease|phenotype"
EFO_0004274,Other,nutritional or metabolic disease|musculoskeletal or connective tissue disease|phenotype
EFO_0005774,Other,nervous system disease
EFO_0005854,Respiratory,respiratory or thoracic disease|immune system disease
EFO_0007444,CVRM,infectious disease|hematologic disease|endocrine system disease|gastrointestinal disease
EFO_0007541,Respiratory,infectious disease|respiratory or thoracic disease|phenotype
EFO_0008517,Other,integumentary system disease
EFO_0010284,Other,gastrointestinal disease
EFO_1000694,Other,integumentary system disease
EFO_1000726,Other,integumentary system disease
EFO_1000782,Respiratory,"respiratory or thoracic disease|injury, poisoning or other complication"
EFO_1001361,Immunology,"immune system disease|musculoskeletal or connective tissue disease|disorder of visual system|genetic, familial or congenital disease|phenotype"
EFO_1001904,Other,phenotype
HP_0000964,Other,phenotype
HP_0001397,Other,phenotype
HP_0001643,Other,phenotype
MONDO_0002406,Other,integumentary system disease
MONDO_0004784,Respiratory,respiratory or thoracic disease|phenotype|immune system disease
MONDO_0007078,CVRM,"endocrine system disease|genetic, familial or congenital disease|nutritional or metabolic disease|urinary system disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0008867,CVRM,endocrine system disease|gastrointestinal disease|phenotype
MONDO_0019312,Rare Disease,"genetic, familial or congenital disease|hematologic disease|nutritional or metabolic disease|integumentary system disease|phenotype"
MONDO_0026045,Other,integumentary system disease
MONDO_0100130,Respiratory,respiratory or thoracic disease
Orphanet_665,CVRM,"endocrine system disease|urinary system disease|genetic, familial or congenital disease|phenotype|integumentary system disease|musculoskeletal or connective tissue disease|disorder of visual system"
HP_0030666,Other,phenotype
EFO_0000294,Oncology,urinary system disease|cancer or benign tumor
EFO_0001668,Other,infectious disease
EFO_0003085,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0003968,CVRM,cardiovascular disease|cancer or benign tumor
EFO_1002027,Other,musculoskeletal or connective tissue disease|phenotype
MONDO_0044704,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
EFO_0000404,Respiratory,"respiratory or thoracic disease|urinary system disease|integumentary system disease|immune system disease|musculoskeletal or connective tissue disease|disorder of visual system|genetic, familial or congenital disease|phenotype"
EFO_0003966,Other,disorder of visual system
EFO_0004190,Other,disorder of visual system
EFO_1001069,CVRM,disorder of visual system|cardiovascular disease|phenotype
MONDO_0005041,Other,disorder of visual system
EFO_0000348,Oncology,cancer or benign tumor
EFO_0005537,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_0009001,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000251,Oncology,cancer or benign tumor|reproductive system or breast disease
MONDO_0002087,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0008678,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
EFO_1001050,Other,nervous system disease|biological_process|nutritional or metabolic disease
EFO_0004280,Other,nervous system disease
EFO_0004718,CVRM,nervous system disease|psychiatric disorder|cardiovascular disease|phenotype
EFO_0004888,Other,phenotype
EFO_0010702,Other,psychiatric disorder
EFO_1000904,Other,nervous system disease
HP_0001824,Other,phenotype
MONDO_0005351,Other,psychiatric disorder|nutritional or metabolic disease|nervous system disease
HP_0002019,Other,phenotype
HP_0000992,Other,phenotype
EFO_0002428,Immunology,immune system disease|hematologic disease|musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0000464,Respiratory,respiratory or thoracic disease
EFO_0000618,Other,nervous system disease
EFO_0000649,Other,gastrointestinal disease|musculoskeletal or connective tissue disease
EFO_0000684,Respiratory,respiratory or thoracic disease
EFO_0000706,Immunology,immune system disease|musculoskeletal or connective tissue disease
EFO_0001074,Other,nutritional or metabolic disease|phenotype
EFO_0001075,Oncology,cancer or benign tumor|endocrine system disease|reproductive system or breast disease
EFO_0002460,Other,phenotype
EFO_0002581,Other,medical procedure
EFO_0003938,Other,gastrointestinal disease
EFO_0003964,Other,"injury, poisoning or other complication|musculoskeletal or connective tissue disease"
EFO_0004193,Oncology,cancer or benign tumor|integumentary system disease
EFO_0004242,Rare Disease,"nervous system disease|psychiatric disorder|genetic, familial or congenital disease"
EFO_0004263,Other,nervous system disease
EFO_0004607,Other,gastrointestinal disease|integumentary system disease
EFO_0007443,Other,pregnancy or perinatal disease|reproductive system or breast disease
EFO_0009520,Other,medical procedure
EFO_0009560,Other,disorder of ear|nervous system disease|infectious disease
EFO_0009610,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease"
EFO_0009625,Other,phenotype
EFO_0009854,Other,psychiatric disorder|nervous system disease
EFO_1001158,CVRM,"nervous system disease|disorder of visual system|cardiovascular disease|genetic, familial or congenital disease"
EFO_1001466,Immunology,disorder of visual system|immune system disease|endocrine system disease|phenotype
EFO_1002048,Other,urinary system disease
GO_0070527,Other,biological_process
HP_0002745,Other,phenotype
HP_0004936,Other,phenotype
HP_0008419,Other,phenotype
HP_0011649,Other,phenotype
HP_0012228,Other,phenotype
MONDO_0000935,Respiratory,respiratory or thoracic disease|cancer or benign tumor
MONDO_0002363,Oncology,cancer or benign tumor
MONDO_0002715,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0003005,Other,nervous system disease|disorder of visual system|phenotype
MONDO_0004247,Other,gastrointestinal disease|integumentary system disease
MONDO_0008040,Immunology,immune system disease|hematologic disease|musculoskeletal or connective tissue disease|cancer or benign tumor
MONDO_0010870,Rare Disease,"nervous system disease|genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0011705,Oncology,cancer or benign tumor
MONDO_0012511,Rare Disease,"genetic, familial or congenital disease|reproductive system or breast disease"
MONDO_0016064,Rare Disease,"genetic, familial or congenital disease|phenotype|musculoskeletal or connective tissue disease"
MONDO_0018305,Rare Disease,"genetic, familial or congenital disease|hematologic disease|immune system disease"
MONDO_0018975,Rare Disease,"genetic, familial or congenital disease|nervous system disease|cancer or benign tumor"
MONDO_0024290,Other,psychiatric disorder
MONDO_0024475,Oncology,cancer or benign tumor
MONDO_0024880,Oncology,cancer or benign tumor
MONDO_0042487,Oncology,cancer or benign tumor|reproductive system or breast disease
Orphanet_891,Rare Disease,"genetic, familial or congenital disease|disorder of visual system"
EFO_0007328,Respiratory,infectious disease|respiratory or thoracic disease
EFO_0003877,Respiratory,respiratory or thoracic disease|psychiatric disorder|phenotype|nervous system disease
MONDO_0004579,Other,nervous system disease|disorder of visual system
MONDO_0004731,Respiratory,respiratory or thoracic disease|psychiatric disorder|phenotype|nervous system disease
Orphanet_37553,CVRM,"cardiovascular disease|genetic, familial or congenital disease|musculoskeletal or connective tissue disease"
EFO_0004895,Rare Disease,"nervous system disease|genetic, familial or congenital disease|psychiatric disorder"
EFO_0008533,Other,gastrointestinal disease
EFO_0009373,Other,integumentary system disease|phenotype
EFO_1000391,Oncology,cancer or benign tumor|respiratory or thoracic disease
MONDO_0008223,Rare Disease,"nervous system disease|nutritional or metabolic disease|genetic, familial or congenital disease"
MONDO_0019091,Respiratory,respiratory or thoracic disease
EFO_0000279,Rare Disease,"genetic, familial or congenital disease|reproductive system or breast disease|phenotype"
EFO_0000701,Other,integumentary system disease
EFO_0003963,Other,phenotype
EFO_0009259,Oncology,integumentary system disease|cancer or benign tumor
EFO_1000690,Other,integumentary system disease
HP_0001065,Other,phenotype
MONDO_0017265,Rare Disease,"integumentary system disease|genetic, familial or congenital disease"
MONDO_0019269,Other,integumentary system disease
MONDO_0021058,Oncology,cancer or benign tumor
EFO_0002939,Oncology,cancer or benign tumor|nervous system disease
EFO_0004992,Other,disorder of ear|nervous system disease
EFO_0005235,Oncology,nervous system disease|cancer or benign tumor
EFO_0007416,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_1000407,Respiratory,respiratory or thoracic disease|nervous system disease|cancer or benign tumor
EFO_1001471,Oncology,integumentary system disease|cancer or benign tumor
HP_0030680,Other,phenotype
MONDO_0001920,Other,disorder of ear|nervous system disease
MONDO_0003960,CVRM,endocrine system disease|respiratory or thoracic disease|cancer or benign tumor
MONDO_0019472,Rare Disease,"hematologic disease|infectious disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0021364,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
EFO_0007140,Respiratory,respiratory or thoracic disease|immune system disease|infectious disease
EFO_0007141,Immunology,disorder of visual system|immune system disease|phenotype
EFO_0007425,Immunology,immune system disease
EFO_1001467,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cardiovascular disease|musculoskeletal or connective tissue disease"
MONDO_0005271,Immunology,immune system disease
EFO_1000209,Oncology,musculoskeletal or connective tissue disease|nervous system disease|cancer or benign tumor
HP_0100526,Other,phenotype
EFO_0000278,CVRM,endocrine system disease|phenotype
EFO_1000906,Other,disorder of visual system|phenotype
MONDO_0015277,CVRM,endocrine system disease|cancer or benign tumor
EFO_0000275,CVRM,cardiovascular disease
EFO_0003911,CVRM,cardiovascular disease
EFO_0005239,CVRM,cardiovascular disease
HP_0001873,Other,phenotype
HP_0009588,Other,phenotype
MONDO_0002046,Other,psychiatric disorder
MONDO_0004985,Other,psychiatric disorder|nervous system disease
EFO_0000765,Immunology,"immune system disease|infectious disease|genetic, familial or congenital disease|reproductive system or breast disease"
EFO_0002687,Other,"injury, poisoning or other complication"
EFO_0005204,Other,psychiatric disorder|nutritional or metabolic disease|nervous system disease
EFO_0007312,Immunology,infectious disease|immune system disease|reproductive system or breast disease
EFO_0007430,Other,"injury, poisoning or other complication"
EFO_0007442,Other,pregnancy or perinatal disease|reproductive system or breast disease
EFO_0009006,CVRM,endocrine system disease|reproductive system or breast disease
EFO_0009682,Other,pregnancy or perinatal disease
EFO_0009784,Other,nervous system disease|disorder of visual system
EFO_1000645,CVRM,"cardiovascular disease|genetic, familial or congenital disease|nervous system disease"
EFO_1001366,Other,phenotype
HP_0008209,Other,phenotype
MONDO_0007309,Rare Disease,"nervous system disease|genetic, familial or congenital disease|phenotype"
MONDO_0010888,Other,reproductive system or breast disease
MONDO_0018896,Immunology,immune system disease|hematologic disease|phenotype
MONDO_0022394,Other,reproductive system or breast disease
EFO_0000713,CVRM,nervous system disease|cardiovascular disease
EFO_0009267,Other,psychiatric disorder|nervous system disease|phenotype
EFO_0005203,Other,psychiatric disorder|nutritional or metabolic disease|nervous system disease
HP_0000739,Other,phenotype
HP_0012378,Other,phenotype
MONDO_0001583,Other,nervous system disease|phenotype
MONDO_0004456,Other,psychiatric disorder
MONDO_0004567,Other,gastrointestinal disease
MONDO_0013189,Rare Disease,"psychiatric disorder|genetic, familial or congenital disease"
MONDO_0024327,Other,urinary system disease
EFO_0011023,Other,"nervous system disease|injury, poisoning or other complication"
MONDO_0008119,Rare Disease,"genetic, familial or congenital disease|nervous system disease|psychiatric disorder|phenotype"
MONDO_0008458,Rare Disease,"genetic, familial or congenital disease|nervous system disease|psychiatric disorder|phenotype"
MONDO_0017276,Rare Disease,"genetic, familial or congenital disease|nervous system disease|psychiatric disorder|phenotype"
MONDO_0044903,Immunology,phenotype|immune system disease|hematologic disease|musculoskeletal or connective tissue disease|cancer or benign tumor
Orphanet_273,CVRM,"endocrine system disease|genetic, familial or congenital disease|disorder of visual system|musculoskeletal or connective tissue disease|cardiovascular disease|reproductive system or breast disease"
Orphanet_733,Rare Disease,"gastrointestinal disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0004244,Respiratory,respiratory or thoracic disease
MONDO_0018542,Rare Disease,"genetic, familial or congenital disease|hematologic disease|immune system disease"
EFO_1001905,Other,biological_process
MONDO_0015626,Rare Disease,"nervous system disease|phenotype|genetic, familial or congenital disease"
EFO_0006792,Other,psychiatric disorder|nervous system disease|nutritional or metabolic disease|phenotype
MONDO_0002491,Other,psychiatric disorder
EFO_0003875,CVRM,cardiovascular disease
GO_0006629,Other,biological_process
MONDO_0002525,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease"
EFO_0700100,CVRM,cardiovascular disease
EFO_0000309,Immunology,"hematologic disease|immune system disease|infectious disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000333,Rare Disease,"musculoskeletal or connective tissue disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000365,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0000466,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_0000556,Other,phenotype
EFO_0000760,Oncology,nervous system disease|cancer or benign tumor
EFO_0003870,CVRM,nervous system disease|cardiovascular disease
EFO_0004265,CVRM,cardiovascular disease
EFO_0006888,CVRM,cardiovascular disease|phenotype
EFO_0006927,Other,hematologic disease|phenotype
EFO_0009661,Respiratory,respiratory or thoracic disease
EFO_1000464,Oncology,cancer or benign tumor
EFO_1000630,Immunology,"gastrointestinal disease|hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_1000660,Other,integumentary system disease
EFO_1000697,Other,integumentary system disease
EFO_1000764,Other,integumentary system disease|phenotype
EFO_1000811,Other,disorder of visual system|phenotype
HP_0000988,Other,phenotype
MONDO_0001422,CVRM,endocrine system disease
MONDO_0002245,Other,hematologic disease
MONDO_0003478,Oncology,cancer or benign tumor|nervous system disease
MONDO_0008094,CVRM,"cardiovascular disease|integumentary system disease|genetic, familial or congenital disease"
MONDO_0008280,Rare Disease,"genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0009723,Rare Disease,"nervous system disease|genetic, familial or congenital disease|phenotype|nutritional or metabolic disease"
MONDO_0015974,Immunology,"immune system disease|genetic, familial or congenital disease|phenotype"
MONDO_0016236,CVRM,cardiovascular disease|cancer or benign tumor
MONDO_0016471,Rare Disease,"integumentary system disease|genetic, familial or congenital disease"
MONDO_0017634,Other,disorder of visual system|phenotype
MONDO_0019338,Other,musculoskeletal or connective tissue disease
MONDO_0021054,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
MONDO_0850302,Oncology,nervous system disease|cancer or benign tumor
Orphanet_46724,Rare Disease,"genetic, familial or congenital disease"
Orphanet_848,Rare Disease,"hematologic disease|urinary system disease|genetic, familial or congenital disease"
HP_0002637,Other,phenotype
EFO_1001927,Oncology,cancer or benign tumor
EFO_1001950,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0000771,Other,infectious disease
EFO_1002004,Immunology,immune system disease
MONDO_0021739,Other,integumentary system disease
EFO_0000432,Oncology,cancer or benign tumor|integumentary system disease|reproductive system or breast disease
EFO_0000763,Other,infectious disease
EFO_0004714,Other,phenotype
EFO_0006318,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_0007532,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_0007624,Other,biological_process
EFO_1000649,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_1000650,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_1001485,CVRM,"endocrine system disease|genetic, familial or congenital disease|phenotype|reproductive system or breast disease|nervous system disease"
GO_0007613,Other,biological_process
GO_0042697,Other,biological_process
MONDO_0000088,CVRM,endocrine system disease|reproductive system or breast disease
MONDO_0002134,Other,reproductive system or breast disease
MONDO_0002146,CVRM,endocrine system disease|reproductive system or breast disease
MONDO_0018919,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0021259,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0100234,CVRM,"cardiovascular disease|genetic, familial or congenital disease|phenotype"
EFO_0000612,CVRM,cardiovascular disease
EFO_0001416,Oncology,cancer or benign tumor|reproductive system or breast disease
MONDO_0001657,Oncology,nervous system disease|cancer or benign tumor
MONDO_0019019,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
EFO_0003096,Rare Disease,"nervous system disease|genetic, familial or congenital disease|psychiatric disorder|phenotype"
EFO_0004699,Other,biological_process
EFO_0000479,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor|musculoskeletal or connective tissue disease"
EFO_0009387,Other,nervous system disease
MONDO_0004064,Oncology,phenotype|disorder of visual system|nervous system disease|cancer or benign tumor
