ensembl_id,efo_id_norm,overall_score,literature,somatic_mutation,clinical,affected_pathway,rna_expression,genetic_association,genetic_literature,animal_model
ENSG00000062822,EFO_0000095,0.6623763655582809,0.4129707682108943,0.4559480982087158,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000177084,EFO_0000095,0.6581159311223321,0.09760666694986583,0.4559480982087158,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000157764,EFO_0000095,0.6021663672662632,0.8100172414429809,0.7512289253939064,0.17964355069423402,0.607930797611621,0.0,0.0,0.0,0.0
ENSG00000167325,EFO_0000095,0.5928949852969314,0.17528671331135076,0.0,0.9665028947926345,0.0,0.0,0.0,0.0,0.0
ENSG00000077514,EFO_0000095,0.5912892774596679,0.12462581351038234,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000171848,EFO_0000095,0.5902925271535266,0.08966979264771412,0.0,0.9665028947926345,0.0,0.0,0.0,0.0,0.0
ENSG00000100479,EFO_0000095,0.589579970631751,0.06839221473130737,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000048392,EFO_0000095,0.5894147749986505,0.06079307976116211,0.0,0.9665028947926345,0.0,0.0,0.0,0.0,0.0
ENSG00000101868,EFO_0000095,0.5887894803870088,0.04238628616681025,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000175482,EFO_0000095,0.5884250335858614,0.030396539880581056,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000148229,EFO_0000095,0.5878706638038343,0.012158615952232422,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000198056,EFO_0000095,0.5875010839491497,0.0,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000146143,EFO_0000095,0.5875010839491497,0.0,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000106628,EFO_0000095,0.5875010839491497,0.0,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000014138,EFO_0000095,0.5875010839491497,0.0,0.0,0.9663946723167609,0.0,0.0,0.0,0.0,0.0
ENSG00000105851,EFO_0000095,0.5769185202626649,0.8912620875592082,0.0,0.9044240542414183,0.0,0.0,0.0,0.0,0.0
ENSG00000012124,EFO_0000095,0.5222697627275307,0.7509312808609588,0.0,0.8211071252844888,0.0,0.019818575829591702,0.0,0.0,0.0
ENSG00000167658,EFO_0000095,0.5141411568474644,0.39490171394854884,0.0,0.8259780769838709,0.0,0.0,0.0,0.0,0.0
ENSG00000183765,EFO_0000095,0.42209350137624735,0.12097184054222572,0.5319394479101685,0.06079307976116211,0.0,0.0,0.45546532270584617,0.0,0.0
ENSG00000165025,EFO_0000095,0.3860130943520442,0.8127103688773593,0.5319394479101685,0.14353921610274387,0.607930797611621,0.0,0.0,0.0,0.0
ENSG00000115268,EFO_0000095,0.38274951670134105,0.290917082870781,0.0,0.06079307976116211,0.0,0.0,0.0,0.607930797611621,0.0
ENSG00000175054,EFO_0000095,0.37484516126543466,0.7642644212962015,0.5699351227608948,0.07599134970145263,0.0,0.0,0.0,0.0,0.0
ENSG00000186716,EFO_0000095,0.36256736842395204,0.9880207001259267,0.45052618408102363,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000096968,EFO_0000095,0.3618634147085619,0.8390321855104566,0.5319394479101685,0.1786129287836572,0.0,0.0,0.0,0.0,0.0
ENSG00000165731,EFO_0000095,0.35054222603061086,0.14862725913942113,0.5319394479101685,0.1654922726831635,0.0,0.0,0.0,0.0,0.0
ENSG00000037280,EFO_0000095,0.34878072175161273,0.01823792392834863,0.5319394479101685,0.1654922726831635,0.0,0.0,0.0,0.0,0.0
ENSG00000134853,EFO_0000095,0.3424123133296847,0.04078202433977958,0.5319394479101685,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000146648,EFO_0000095,0.3348084117106816,0.16185133675874536,0.5319394479101685,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000198793,EFO_0000095,0.3321762130971949,0.656648452106222,0.4224103136520318,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000128052,EFO_0000095,0.31917195409480503,0.22856620887411197,0.4030148166883441,0.1654922726831635,0.0,0.0,0.0,0.0,0.0
ENSG00000137818,EFO_0000095,0.3190964273933816,0.04255515583281348,0.0,0.06079307976116211,0.0,0.0,0.5087454530107124,0.0,0.0
ENSG00000121879,EFO_0000095,0.3150129281745719,0.891735005609979,0.4559480982087158,0.1587374860430344,0.0,0.0,0.0,0.0,0.0
ENSG00000051382,EFO_0000095,0.3135134422670829,0.8911887666446202,0.4559480982087158,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000121966,EFO_0000095,0.3116843104149261,0.9426547190661202,0.4559480982087158,0.08654570382665439,0.0,0.0,0.0,0.0,0.0
ENSG00000157404,EFO_0000095,0.3107611302366181,0.3819295346570722,0.4559480982087158,0.18697216392646812,0.0,0.0,0.0,0.0,0.0
ENSG00000122025,EFO_0000095,0.30849684523479703,0.36449776371957715,0.4559480982087158,0.17362334710121896,0.0,0.0,0.0,0.0,0.0
ENSG00000113721,EFO_0000095,0.30695449671595315,0.10015649551692313,0.4559480982087158,0.18697216392646812,0.0,0.0,0.0,0.0,0.0
ENSG00000197122,EFO_0000095,0.3068004482681128,0.1614224138005669,0.4559480982087158,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000162434,EFO_0000095,0.30600002900284984,0.16600103079846767,0.4559480982087158,0.17483920869644218,0.0,0.0,0.0,0.0,0.0
ENSG00000132155,EFO_0000095,0.30496144069966696,0.34625881005305664,0.4559480982087158,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000145675,EFO_0000095,0.29858744290688766,0.04542594015486835,0.4559480982087158,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,EFO_0000095,0.2975633450867269,0.5353244582211807,0.4559480982087158,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000167258,EFO_0000095,0.2956638837477614,0.0,0.4559480982087158,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000091831,EFO_0000095,0.28917537349645783,0.20363234713223669,0.4559480982087158,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000147403,EFO_0000095,0.28700727412676696,0.043146199663824776,0.4559480982087158,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000254087,EFO_0000095,0.2566257310668489,0.7977945497327515,0.3133655790315652,0.18329880354126818,0.0,0.010487728661521017,0.0,0.0,0.0
ENSG00000079999,EFO_0000095,0.24118963825293857,0.07126299905336225,0.3799567485072632,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000105647,EFO_0000095,0.2312283889313358,0.1888182396481894,0.34196107365653683,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000182578,EFO_0000095,0.21378074769469152,0.6835624967286051,0.3039653988058105,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000080824,EFO_0000095,0.21251914707173147,0.7283689148020612,0.3039653988058105,0.08274613634158175,0.0,0.0,0.0,0.0,0.0
ENSG00000096384,EFO_0000095,0.21251400736252196,0.7281998261745487,0.3039653988058105,0.08274613634158175,0.0,0.0,0.0,0.0,0.0
ENSG00000117461,EFO_0000095,0.2071828149680903,0.11873215877727822,0.3039653988058105,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,EFO_0000095,0.19431687470755657,0.021277577916406734,0.3039653988058105,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000185483,EFO_0000095,0.14314176682161303,0.9596884302644905,0.0,0.16253705352810702,0.0,0.12984245047272283,0.0,0.0,0.0
ENSG00000004468,EFO_0000095,0.13982691709311956,0.9496803479914486,0.0,0.1587374860430344,0.0,0.017289900792417386,0.0,0.0,0.0
ENSG00000182866,EFO_0000095,0.13582870875285827,0.8412051784099138,0.0,0.1805127125261935,0.0,0.038472325046969076,0.0,0.0,0.0
ENSG00000188389,EFO_0000095,0.1326855457200303,0.9393055380191193,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000104921,EFO_0000095,0.13221401243130868,0.8783526492312789,0.0,0.16591444684817158,0.0,0.014979126201495739,0.0,0.0,0.0
ENSG00000171552,EFO_0000095,0.13113870370060354,0.8080233211541825,0.0,0.17531204376125123,0.0,0.0,0.0,0.0,0.0
ENSG00000102524,EFO_0000095,0.1310858505821138,0.9261486528588245,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000265681,EFO_0000095,0.12772984033583681,0.9745380924459865,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000101017,EFO_0000095,0.12743558391987614,0.9204016099302333,0.0,0.102166147931953,0.0,0.0,0.0,0.0,0.0
ENSG00000112715,EFO_0000095,0.127384637768557,0.8577119078394395,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000010810,EFO_0000095,0.12708624261283832,0.557440456173316,0.0,0.1805127125261935,0.0,0.02981176698003473,0.0,0.0,0.0
ENSG00000143384,EFO_0000095,0.12131324900589263,0.9217640649156077,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000104894,EFO_0000095,0.11646168906200356,0.5388867302553918,0.0,0.16462629869693984,0.0,0.0,0.0,0.0,0.0
ENSG00000136573,EFO_0000095,0.11433416403210622,0.15116611117818823,0.0,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000101336,EFO_0000095,0.1135925966053478,0.029467756717563298,0.0,0.1805127125261935,0.0,0.11367288826477225,0.0,0.0,0.0
ENSG00000159958,EFO_0000095,0.11279678665727924,0.83272155807991,0.0,0.07599134970145263,0.0,0.0,0.0,0.0,0.0
ENSG00000116478,EFO_0000095,0.11248478280285089,0.6609245397865137,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000134460,EFO_0000095,0.11194073505681433,0.2968433798599514,0.0,0.16929184016823612,0.0,0.0,0.0,0.0,0.0
ENSG00000142627,EFO_0000095,0.11182582356799345,0.06864551923031222,0.0,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000095,0.11164995983025858,0.05054606842808623,0.0,0.1805127125261935,0.0,0.0277060520437436,0.0,0.0,0.0
ENSG00000111816,EFO_0000095,0.11010881715977078,0.012158615952232422,0.0,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000176105,EFO_0000095,0.10973923730508607,0.0,0.0,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000125508,EFO_0000095,0.10973923730508607,0.0,0.0,0.1805127125261935,0.0,0.0,0.0,0.0,0.0
ENSG00000129473,EFO_0000095,0.10906492505150898,0.08182952620857842,0.0,0.17531204376125123,0.0,0.0,0.0,0.0,0.0
ENSG00000258643,EFO_0000095,0.1090533756810501,0.08144956946007116,0.0,0.17531204376125123,0.0,0.0,0.0,0.0,0.0
ENSG00000102755,EFO_0000095,0.10648494338965382,0.1933474692154995,0.0,0.1654922726831635,0.0,0.0,0.0,0.0,0.0
ENSG00000198805,EFO_0000095,0.10392454529865168,0.23151391761761353,0.0,0.1587374860430344,0.0,0.028566170068215647,0.0,0.0,0.0
ENSG00000094631,EFO_0000095,0.10349858848917982,0.6692577926646909,0.0,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000160654,EFO_0000095,0.10308423339399284,0.03647584785669726,0.0,0.16774194403469944,0.0,0.0,0.0,0.0,0.0
ENSG00000167286,EFO_0000095,0.10252986361196578,0.01823792392834863,0.0,0.16774194403469944,0.0,0.0,0.0,0.0,0.0
ENSG00000198851,EFO_0000095,0.10197549382993873,0.0,0.0,0.16774194403469944,0.0,0.0,0.0,0.0,0.0
ENSG00000198431,EFO_0000095,0.09855069092465252,0.2025140781701172,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000171720,EFO_0000095,0.09624670438448525,0.1267164199755023,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000196591,EFO_0000095,0.09424722289741981,0.06093651558767343,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000147099,EFO_0000095,0.09341130827155837,0.03343619386863916,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000163517,EFO_0000095,0.09239496367117545,0.0,0.0,0.15198269940290526,0.0,0.0,0.0,0.0,0.0
ENSG00000112294,EFO_0000095,0.09153430176123166,0.0,0.0,0.14814091450133185,0.0,0.0485212282488858,0.0,0.0,0.0
ENSG00000140379,EFO_0000095,0.09125949603183377,0.6745833570773873,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000141506,EFO_0000095,0.08902447094283154,0.1641413153551377,0.0,0.13678442946261474,0.0,0.06511498048688542,0.0,0.0,0.0
ENSG00000239732,EFO_0000095,0.08805798671944033,0.6292543210602501,0.0,0.07599134970145263,0.0,0.0,0.0,0.0,0.0
ENSG00000100385,EFO_0000095,0.08759246583073571,0.14597051322648794,0.0,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000147168,EFO_0000095,0.08566573266324716,0.08258391807262723,0.0,0.13678442946261474,0.0,0.0,0.0,0.0,0.0
ENSG00000196126,EFO_0000095,0.07928224506583606,0.17654226928387864,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000058091,EFO_0000095,0.07841632069301771,0.03951550184475537,0.0,0.12158615952232422,0.0,0.1304922272002893,0.0,0.0,0.0
ENSG00000105675,EFO_0000095,0.07626690945701806,0.07734230702947845,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000102225,EFO_0000095,0.07522027669807928,0.04290967874182883,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000138395,EFO_0000095,0.07522027669807928,0.04290967874182883,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000125498,EFO_0000095,0.0751556033661953,0.04078202433977958,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000243772,EFO_0000095,0.07507090798283006,0.037995674850726316,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
ENSG00000065883,EFO_0000095,0.07483992057365212,0.030396539880581056,0.0,0.12158615952232422,0.0,0.0,0.0,0.0,0.0
